White Win %,Black Win %,Moves,Number of moves
40.80%,23.90%,1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7 4.Bxd7+ Qxd7 5.O-O Nc6 6.c3 Nf6 7.d4,7
33.90%,35.50%,1.e4 c5 2.Nf3 d6 3.Bb5+ Nc6 4.O-O Bd7 5.c3 a6 6.Bxc6 Bxc6 7.Re1 Nf6 8.d4 Bxe4 9.Bg5,9
43.00%,31.90%,1.e4 c5 2.Ne2,2
41.70%,32.20%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4,4
34.90%,35.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2,6
33.30%,34.20%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.g3,6
29.50%,41.60%,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.f4,6
32.00%,39.90%,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.Be3,6
38.80%,39.60%,1.e4 c5 2.Nc3,2
38.40%,32.40%,1.e4 c5 2.Nc3 Nc6 3.Nge2,3
33.80%,41.00%,1.e4 c5 2.Nc3 Nc6 3.g3,3
35.20%,34.30%,1.e4 c5 2.Nf3 e6 3.c3,3
40.20%,34.00%,1.e4 c5 2.Nf3 d6 3.c3,3
54.30%,23.20%,1.e4 c5 2.Nf3 d6 3.c3 Nf6 4.Be2 Nc6 5.d4 cxd4 6.cxd4 Nxe4 7.d5 Qa5+ 8.Nc3 Nxc3 9.bxc3,9
38.90%,33.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.Nb3,8
28.20%,43.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O,8
36.50%,39.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3,7
27.70%,36.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Qd2,9
40.70%,30.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2,6
33.80%,38.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Nb3,9
45.00%,28.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.g3,6
45.90%,33.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f4,6
44.20%,34.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4 Bd7 10.O-O-O,10
46.20%,33.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3,7
52.60%,25.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4,9
46.70%,28.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.O-O-O,9
48.00%,26.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.g4,9
43.00%,29.90%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Nxc6,6
38.30%,32.90%,1.e4 c5 2.Nf3 e6 3.b3,3
35.70%,42.10%,1.e4 c5 2.Nc3 Nc6 3.f4,3
32.50%,45.60%,1.e4 c5 2.Nc3 Nc6 3.f4 g6 4.Nf3 Bg7 5.Bc4 e6 6.f5,6
41.20%,36.20%,1.e4 c5 2.Nf3 g6 3.d4,3
36.30%,39.10%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3,5
38.40%,35.90%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4,5
40.80%,31.40%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3,5
34.50%,41.20%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3 b5 6.g3,6
39.00%,34.10%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3 b5 6.Bd3 Qb6 7.Nf3,7
35.10%,35.30%,1.e4 c5 2.Nf3 e6 3.c4,3
40.40%,35.70%,1.e4 c5 2.Na3,2
36.40%,38.30%,1.e4 c5 2.g3,2
25.10%,53.60%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nxc6,6
19.80%,61.00%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nf3,6
26.10%,54.40%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nb3,6
37.30%,29.80%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Nd5,9
41.20%,36.50%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 f5 11.Bxb5,11
35.30%,42.90%,1.e4 c5 2.f4,2
40.40%,43.60%,1.e4 c5 2.a3,2
55.60%,26.30%,1.e4 c5 2.Nf3,2
51.00%,30.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4,4
40.70%,36.20%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3,5
39.70%,41.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.c3,4
42.70%,42.40%,1.e4 c5 2.d4 cxd4 3.Nf3,3
50.00%,32.00%,1.e4 c5 2.d4 cxd4 3.Nf3 e5 4.c3,4
37.90%,37.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5 e6 7.f4,7
38.40%,40.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5,6
41.90%,33.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.h3,6
38.50%,33.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.f4,6
39.10%,35.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be3,6
44.50%,32.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Rg1,6
34.70%,38.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be2,6
47.20%,34.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5 e6 7.f4 b5 8.e5 dxe5 9.fxe5 Qc7 10.Qe2,10
37.60%,32.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.g3,6
40.50%,32.10%,1.e4 c5 2.Nf3 Nf6 3.e5,3
36.00%,36.40%,1.e4 c5 2.Nf3 Nf6 3.Nc3,3
42.60%,29.50%,1.e4 c5 2.Nf3 Nc6 3.Bb5,3
52.60%,24.60%,1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.c3 e5 6.d4,6
45.20%,35.90%,1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.c3 Nf6 6.d4,6
45.90%,22.90%,1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.c3 Nf6 6.Qa4,6
43.90%,28.70%,1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.Re1 e5 6.b4,6
36.40%,41.40%,1.e4 c5 2.Nf3 a6 3.b3,3
46.60%,30.70%,1.e4 c5 2.Nf3 a6 3.c4,3
26.80%,54.20%,1.e4 c5 2.Nf3 a6 3.d4,3
33.30%,40.90%,1.e4 c5 2.Nf3 a6 3.d3,3
40.70%,38.20%,1.e4 c5 2.Nf3 a6 3.g3,3
42.00%,31.00%,1.e4 c5 2.Nf3 a6 3.c3,3
39.40%,37.70%,1.e4 c5 2.Nf3 a6 3.Nc3,3
52.90%,27.70%,1.e4 c5 2.Nf3 Nc6 3.d4,3
37.80%,43.60%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Nf6 6.Ndb5 Bb4 7.Nd6+,7
31.80%,38.20%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3 a6 7.Be2,7
37.00%,34.90%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3,6
39.00%,33.20%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3 a6 7.Qd2,7
33.30%,44.70%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3 a6 7.f3,7
40.10%,39.10%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Ndb5 Qb8 7.Be3 a6 8.Bb6,8
43.20%,30.60%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3,5
33.60%,34.40%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nb5,5
54.00%,24.90%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4 6.e5,6
42.40%,29.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3,5
40.10%,31.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3 e5 6.Bb5+,6
44.40%,30.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd3,7
40.50%,24.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4,9
36.90%,24.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4 Nxd4 10.Qxd4,10
38.50%,36.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5,6
39.60%,29.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 Bd7 7.Qd2,7
39.00%,33.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6 8.O-O-O Bd7 9.f4 Be7 10.Nf3 b5 11.Bxf6,11
38.40%,33.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2,7
38.00%,35.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Bb5,7
33.80%,34.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2,6
41.90%,26.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6 7.O-O Qc7 8.f4 Nc6 9.Be3,9
38.10%,29.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6 7.O-O Qc7 8.f4 Nc6 9.Kh1 Be7 10.a4,10
46.20%,29.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.g4,7
46.00%,30.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.g4 e5 8.Nf5 g6 9.g5,9
41.70%,35.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.Qd2,7
43.20%,36.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.f3,7
34.50%,31.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g3,6
47.40%,25.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g4,6
42.50%,26.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.f4,6
30.80%,31.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 Nc6 7.O-O Be7 8.Be3 O-O 9.f4,9
34.70%,30.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 Nc6 7.O-O Be7 8.Be3 O-O 9.f4 Bd7 10.Nb3,10
51.20%,25.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.f4 Nc6 7.Be3 Be7 8.Qf3,8
26.00%,53.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bb5+,6
33.70%,47.00%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.c3,4
42.90%,41.10%,1.e4 c5 2.d4 cxd4 3.c3,3
32.10%,42.20%,1.e4 c5 2.d4 cxd4 3.c3 d3 4.c4,4
39.50%,36.90%,1.e4 c5 2.b3,2
34.70%,41.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4,6
37.80%,37.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4 Nc6 7.Be3,7
29.50%,47.90%,1.e4 c5 2.c4,2
43.50%,33.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4 Nc6 7.Be3 Be7 8.Qe2,8
46.80%,19.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Bb5+,6
38.00%,46.20%,1.e4 c5 2.Nf3 e6 3.b4,3
37.90%,46.40%,1.e4 c5 2.b4,2
35.90%,51.50%,1.e4 c5 2.b4 cxb4 3.Bb2,3
36.40%,46.90%,1.e4 c5 2.Nf3 d6 3.b4,3
36.10%,44.80%,1.e4 c5 2.b4 cxb4 3.a3,3
48.70%,28.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4,5
36.40%,34.80%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.e3,5
28.90%,46.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Bg5,4
44.50%,24.80%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nbd2,4
39.70%,24.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 a6 5.c5,5
46.30%,20.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Nh4,6
35.70%,27.00%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3,6
34.00%,26.20%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 e6 7.Bxc4 Bb4 8.O-O O-O 9.Qe2,9
40.30%,27.20%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5,6
43.80%,18.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 e6 7.f3 Bb4 8.e4,8
34.30%,26.40%,1.d4 d5 2.c4 c6 3.cxd5,3
42.00%,28.20%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.cxd5 cxd5 6.Nc3,6
42.60%,34.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.e4 b5 6.e5,6
41.50%,40.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.e4,5
45.40%,23.80%,1.d4 d5 2.c4 c6 3.Nf3,3
45.10%,19.80%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3,4
41.90%,27.10%,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.e4,4
59.50%,19.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3,4
54.90%,21.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O,4
48.40%,15.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6 5.d4 Bd7 6.Nc3 Be7 7.Bxc6,7
41.40%,20.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Be7 6.dxe5,6
34.00%,30.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d4 exd4 5.O-O,5
51.40%,23.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3,4
41.40%,28.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.O-O Nf6 5.c3 O-O 6.d4 Bb6 7.Bg5,7
48.80%,24.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.O-O Nf6 5.c3,5
34.00%,29.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.d4,6
37.40%,12.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Na5 10.Bc2 c5 11.d4 Qc7 12.Nbd2 Nc6 13.dxc5,13
39.10%,26.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Na5 10.Bc2,10
34.40%,25.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Bxc6,6
37.50%,23.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3,9
40.10%,23.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.d3,6
32.80%,31.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Nc3,6
40.50%,27.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.d3,9
39.00%,22.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.a3,9
44.30%,25.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Qe2,6
49.10%,20.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.d4,9
57.80%,24.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4,4
25.90%,35.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6,4
36.30%,27.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.Nc3,5
34.40%,32.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.O-O,5
41.70%,24.50%,1.e4 e5 2.Nf3 Nc6 3.Bb5,3
32.80%,42.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5 9.exd5 Nxd5 10.Nxe5 Nxe5 11.Rxe5 c6 12.d4,12
36.30%,23.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5 9.exd5 Nxd5 10.Nxe5 Nxe5 11.Rxe5 c6 12.Bxd5 cxd5 13.d4 Bd6 14.Re3,14
42.50%,28.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O,5
41.40%,31.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3,5
33.60%,30.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.Bxc6,5
36.30%,22.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Nb8 10.d3,10
41.10%,24.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Na5 10.Bc2 c5 11.d4 Qc7 12.Nbd2 cxd4 13.cxd4,13
40.90%,29.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3 d6 6.c4,6
41.00%,27.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d4,5
42.00%,28.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.O-O,5
46.20%,26.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c3,5
39.90%,26.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.Bxc6+ bxc6 6.d4,6
40.40%,25.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c3 f5 6.exf5 Bxf5 7.O-O,7
34.20%,28.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c4,5
41.00%,28.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.Nc3,5
59.90%,20.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O b5 6.Bb3 Be7 7.a4,7
41.50%,32.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.Qe2,5
44.00%,24.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3,7
38.00%,19.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.Nbd2,9
40.00%,33.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Be7 10.Re1,10
40.10%,20.70%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.Qe2,9
32.70%,23.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.Nbd2 Nc5 10.c3 d4 11.Ng5,11
33.30%,19.10%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Be7 10.Nbd2 O-O 11.Qe2,11
43.60%,17.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Bc5 10.Qd3,10
38.30%,28.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Bc5 10.Nbd2,10
28.80%,47.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.exf5,4
46.40%,30.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Nc3,4
38.30%,33.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Bxc6,4
34.30%,45.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.d4,4
59.60%,14.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.d4 Bd7 5.Nc3 Nf6 6.Bxc6,6
31.00%,52.50%,1.d4 Nf6 2.f4,2
44.20%,19.40%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.Bg5,9
45.90%,15.90%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.O-O O-O 9.dxc5 Bxc5 10.Na4,10
52.20%,18.40%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3,6
43.60%,24.50%,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3,5
47.10%,32.90%,1.e4 e5 2.Nf3 Nc6 3.Nc3,3
38.20%,32.70%,1.e4 e5 2.Nf3 Nc6 3.Nc3 g6 4.d4 exd4 5.Nd5,5
36.80%,32.30%,1.d4 Nf6 2.Nf3 e6 3.Bg5,3
50.60%,16.10%,1.d4 Nf6 2.Nf3 e6 3.Bg5 c5 4.e3 b6 5.d5,5
35.80%,33.40%,1.d4 Nf6 2.Nf3 g6 3.Bg5,3
40.80%,33.60%,1.d4 Nf6 2.Bg5 e6 3.e4,3
