White Win %,Black Win %,Moves,Number of moves
29.60%,41.40%,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e4,5
27.00%,35.70%,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.b3,7
28.60%,27.40%,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d3,7
42.10%,30.00%,1.c4 c5 2.Nc3 Nf6 3.g3,3
50.70%,24.80%,1.c4 c5 2.Nc3 Nc6 3.g3,3
43.70%,19.90%,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d4,7
37.20%,34.00%,1.c4 c5 2.Nc3,2
28.00%,36.00%,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3,5
35.80%,51.20%,1.e4 e5 2.c4,2
35.00%,47.60%,1.d4 e5 2.d5,2
64.40%,27.30%,1.d4 e5 2.dxe5 Nc6 3.Nf3 Qe7 4.Qd5,4
42.70%,34.70%,1.d4 e5 2.e3,2
48.00%,24.80%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3,6
42.60%,31.60%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.a3,4
43.00%,43.80%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Nxe5,4
28.80%,51.90%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4,4
23.50%,63.10%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4 Nxe4 5.Bxf7+,5
36.20%,29.10%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 Bxc3 7.bxc3 d6 8.Re1,8
28.90%,23.10%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.Bxc6,6
53.10%,24.20%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 a6 5.Bxc6,5
45.30%,34.50%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4,4
35.60%,35.00%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4 5.Nd5,5
36.90%,28.50%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 Bb4 5.Nxe5,5
38.30%,34.50%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5,4
16.30%,19.60%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4 5.Nxd4,5
36.30%,22.40%,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 d6 7.Ne2,7
40.60%,38.20%,1.e4 e6 2.d4 d5 3.e5 c5 4.c3,4
