05Sb2,r1b1k2r/pp4pp/5p2/4N3/2N1q3/2P5/PP3PPP/R4K1R b kq - 1 16,f6e5 c4d6 e8e7 d6e4,1535,500,100,2,equality fork middlegame short,https://lichess.org/P1OiEDFE/black#32,
05X2L,6k1/r4pp1/1p2r2p/pn6/2q2P2/2NbP1P1/R2P1KBP/2BQ3R w - - 3 28,g2d5 b5c3 d5c4 c3d1 h1d1 d3c4,1538,500,100,2,equality long middlegame,https://lichess.org/S4dY8LrP#55,
05tJf,8/p7/k7/1p2KP2/2p4p/P1B2r2/8/1R6 w - - 1 45,e5e6 f3c3,1360,280,100,7,endgame equality hangingPiece oneMove,https://lichess.org/NXsKekyG#89,
05yhU,3r2k1/qb3pp1/p3p1p1/1p6/3P4/1B4B1/PP3PPP/R2Q2K1 w - - 1 23,g3h4 d8d4 d1c1 d4h4,1199,109,100,48,equality fork middlegame short,https://lichess.org/85qcr3Ri#45,
066qU,2r3k1/5p1p/1p2pB2/p2b2q1/8/PP2b1N1/RQ3PPP/2r2BK1 b - - 4 22,g5f4 f2e3 f4e3 b2f2,1867,314,100,2,equality middlegame short,https://lichess.org/eMlCT7ou/black#44,
06FA7,6k1/5pp1/4p2p/p2p4/1n1q4/1P5P/4BPP1/2Q3K1 b - - 0 29,b4d3 c1c8 g8h7 c8c2,1592,500,100,7,endgame equality short,https://lichess.org/sS1ufd06/black#58,
06Tl5,r6q/pp3p2/4p1k1/3p1p2/8/2NR4/PPP3PP/5RK1 b - - 2 19,h8h5 d3h3 h5h3 g2h3,1699,284,100,4,endgame equality short,https://lichess.org/Jn0j1RP1/black#38,
06ZOL,7k/4qp2/p4n2/1p3QP1/4p2P/P1PrP3/2Rn1PB1/6K1 b - - 0 29,f6h5 c2d2 d3d2 g2e4,1428,500,100,0,equality middlegame short,https://lichess.org/iUt4Tp6F/black#58,
06bs9,r3k3/pp2b2r/4Rnpp/2pp4/5B2/2PP4/PP3PPP/RN4K1 w q - 2 18,f4e5 e8f7 e6e7 f7e7,2277,154,100,17,equality middlegame short trappedPiece,https://lichess.org/muOzacpm#35,
06fZJ,r1b2rk1/p6p/2n1p1p1/1p6/2p1N3/5P2/PPPR2P1/2K4R b - - 1 18,c8b7 d2d7 h7h5 d7b7,1650,333,100,2,equality middlegame short,https://lichess.org/Nt65Q2xz/black#36,
06gUr,8/2k2B2/p1p5/4K1P1/7r/8/8/8 b - - 2 47,h4g4 g5g6,1268,226,100,15,endgame equality oneMove,https://lichess.org/lfr6Kq5B/black#94,
06jxO,3q1rk1/p4ppn/1ppp1P2/4p1P1/2P5/3P2P1/PP2Q1K1/5R2 b - - 0 33,h7g5 e2h5 d8f6 f1f6,2048,182,100,9,endgame equality short,https://lichess.org/DAWkTVmt/black#66,
06s4a,rn2k2r/ppp2ppp/4b3/3N4/3bq3/1Q4P1/PP2NP1P/R3KB1R b KQkq - 1 11,e4h1 d5c7 e8d8 c7e6,1689,355,100,7,equality fork middlegame short,https://lichess.org/f4jFoUaN/black#22,
06xcs,8/p4k1p/1p3P2/2p5/3p4/7P/r2KR1P1/5R2 w - - 3 37,d2d3 c5c4 d3c4 a2e2,1468,198,100,15,deflection endgame equality rookEndgame short,https://lichess.org/DLe2wxIE#73,
07IoC,6k1/1b2qppp/1p2p3/p2pn1P1/N2Q3P/PP3BK1/2r5/3R4 b - - 3 33,c2h2 d4e5,1499,77,80,73,equality hangingPiece middlegame oneMove,https://lichess.org/KN8fNW95/black#66,
07NWP,r4rk1/p4pp1/2p1bb1p/2n1p3/1pB1P1P1/1P3N1P/q1P1QP2/1NKR3R b - - 1 18,c5b3 c2b3 a2e2 c4e2,1466,500,100,0,equality middlegame short,https://lichess.org/wOBoFryq/black#36,
07SoW,6rk/6q1/4Q2p/p3N3/8/6P1/5P2/2b3K1 b - - 0 37,g8f8 e5g6 h8h7 g6f8,1470,500,100,0,endgame equality fork short,https://lichess.org/TCMhMbmw/black#74,
07eyX,4r2r/1pp1q1b1/p5k1/8/P3bRp1/6Q1/1PPB2PP/R5K1 b - - 1 28,g7d4 g1h1 h8h2 g3h2,2076,193,100,9,defensiveMove equality middlegame short,https://lichess.org/zcv9JQBJ/black#56,
07fpN,r3k1r1/p1p2p1p/2p4q/8/8/1PNPPN2/P1b1Q2P/R3K3 b Qq - 0 16,h6h5 e1d2 c2d3 d2d3,2058,180,100,14,equality middlegame short trappedPiece,https://lichess.org/BSWMBPqL/black#32,
07uv4,2b1r1k1/3n1pbp/2p2qp1/8/1Q2P3/2NB1P2/rP4PP/3R1R1K b - - 1 28,d7e5 c3a2 e5d3 d1d3,1484,452,100,1,equality hangingPiece middlegame short,https://lichess.org/Mqqmw5u8/black#56,
081gq,5k2/1p3pp1/5bp1/1P1p4/2PP3n/3Q1P1K/1r6/8 b - - 0 42,d5c4 d3a3 f8g8 a3b2,1364,78,100,472,endgame equality fork short,https://lichess.org/2jgzJI9S/black#84,
08Bcj,2kr2r1/1p3p2/pP3p2/3pbn1p/N2q3P/3N2P1/P4P2/1R1Q1K1R b - - 4 24,e5g3 b1b4 f5e3 f2e3,1598,439,100,11,equality middlegame short,https://lichess.org/yg8brUbe/black#48,
08Dk6,r1b2rk1/pp1B1pbp/6p1/3QP3/5PPq/8/PPP4P/2KR2NR b - - 0 14,c8d7 d5d7 a8d8 g1f3,1879,302,100,6,equality middlegame short,https://lichess.org/HgeUcO82/black#28,
08Juz,2r2r1k/6p1/2Np3p/3Qp1q1/1P6/5nPP/P1R2P2/2R4K b - - 4 33,c8c6 d5c6 g5f5 h1g2,2269,353,25,5,equality hangingPiece middlegame short,https://lichess.org/z1jJ9dfF/black#66,
08UaO,r4k2/ppp3p1/2n3Qr/1q5p/1bbP2nP/4BR2/PP3P2/R5K1 b - - 5 22,g4f6 e3h6 g7h6 a1e1 b4e7 f3f6 e7f6 g6f6,1427,500,100,0,equality middlegame pin quietMove veryLong,https://lichess.org/3VFxhULG/black#44,
08VVF,r3k2r/ppq2p2/2p1b1p1/3pP3/3Pn2b/2P2Q2/PP2B3/RN3KNR b kq - 1 17,e4g3 f3g3 h4g3 h1h8 e8e7 h8a8,1622,327,100,2,equality long middlegame skewer,https://lichess.org/o2uaLgbo/black#34,
08arO,r1bq2kr/pp1nb1pp/2p1Nn2/4p3/4P3/2N5/PPP2PPP/R1BQ1RK1 b - - 3 10,d8e8 e6c7 e8d8 c7a8,1542,389,100,3,equality fork opening short,https://lichess.org/oGQ7Hqzc/black#20,
08dVM,8/pp6/4k2p/3p2p1/2pP2K1/P1P4P/1P6/8 b - - 0 38,b7b5 g4h5 e6f5 h5h6,1714,303,100,6,endgame equality pawnEndgame short,https://lichess.org/eAWip96Q/black#76,
08hKe,1r4k1/p3qpp1/bp2p2p/8/4B3/8/Q4PPP/3R2K1 b - - 5 24,b8d8 d1d8 e7d8 a2a6,1478,500,100,6,endgame equality short,https://lichess.org/15wYTj5b/black#48,
08oLT,6rr/1k6/2n5/1p3P2/3pPq1p/1QPP4/1P4PP/R4NK1 b - - 1 28,f4f3 b3b5 b7c7 a1a7,1545,323,100,3,equality middlegame short,https://lichess.org/x1dh7F0v/black#56,
08qPM,2b1r1k1/1qp2ppp/p7/1p6/8/P1Q3P1/1PP2P1P/3R1RK1 w - - 2 25,d1d4 c8h3 f2f3 h3f1,1667,164,100,23,endgame equality short,https://lichess.org/OZ1beg9p#49,
08sm2,5rk1/6p1/p3P2p/1p6/4R3/P1N3qP/1P2RrP1/3Q2K1 w - - 5 33,e2f2 f8f2 d1f1 f2f1,1617,459,100,1,endgame equality short,https://lichess.org/ojEjQSJj#65,
098WY,2bq4/Q7/3p1N2/2p5/3nP3/3P1B1P/1pk2PP1/1N4K1 w - - 6 30,a7a2 d4f3 g2f3 d8f6,1614,500,100,0,equality middlegame short,https://lichess.org/CFViiCqn#59,
09Ah4,2rr4/6kb/p1B2p1p/1p2p3/1P1PPpP1/2P2K1P/4RP2/R7 w - - 1 36,d4d5 c8c6 d5c6 d8d3 e2e3 f4e3,1441,372,100,3,endgame equality long sacrifice,https://lichess.org/ENceVNk4#71,
09D3a,8/5Q2/p3Pp2/4qk2/2p1N3/3n2PP/5P1K/8 w - - 3 42,e4d2 e5d4 d2e4 f5e4 f7b7 e4f5 e6e7 d4f2,1463,500,100,0,endgame equality veryLong,https://lichess.org/DIOPGnat#83,
09GGG,8/4b1kp/3pBpn1/2p1p3/2P1P3/1q4PN/r2RQP1P/6K1 b - - 5 35,a2d2 e2d2 b3b1 g1g2,977,81,52,108,defensiveMove equality middlegame short,https://lichess.org/ci5vfNhu/black#70,
09KeK,r5r1/1p3q2/p1p4k/3p3p/1P1Ppb2/P3P2P/1B2Q3/1R4RK w - - 0 33,g1g8 a8g8 e3f4 g8g3 b1g1 g3h3,1411,500,100,1,equality long middlegame,https://lichess.org/4DGHvdmo#65,
09MJ4,6k1/2q2p2/4p1p1/1B1pP3/3P4/2r3PK/3Q1P2/8 b - - 33 54,c3f3 b5d3 f3d3 d2d3,1435,480,100,2,endgame equality short,https://lichess.org/xceQSGfl/black#108,
09QRV,1r2k2r/Qb1pnq2/n1p1p1pp/p3Pp2/2PP4/P1NB1N2/1P3PPP/R4RK1 w k - 0 16,c4c5 e7c8 a7b7 b8b7,1473,500,100,2,equality middlegame short trappedPiece,https://lichess.org/YJsL6nhx#31,
